fitness type,problem name,run with evosuite,mutation seed,selection seed,number of fixed patch,number of unique fixed patch,number of unique fixed patch passed evosuite,number of evaluations to find first fixed patch,minimum number of edits to find a fix,number of better patches,ratio of better patches,number of equal patches,ratio of equal patches
arjae,levenshtein,FALSE,425955,76541,0,0,0,999999,999999,218,0.543640898,6,0.014962594
arjae,levenshtein,FALSE,516777,623479,0,0,0,999999,999999,202,0.503740648,20,0.049875312
arjae,levenshtein,FALSE,517714,858152,0,0,0,999999,999999,209,0.521197007,15,0.037406484
arjae,levenshtein,FALSE,539540,610666,0,0,0,999999,999999,192,0.478802993,23,0.057356608
arjae,levenshtein,FALSE,557989,371825,89,74,72,4,3,180,0.448877805,21,0.052369077
arjae,levenshtein,FALSE,623272,716371,0,0,0,999999,999999,208,0.518703242,14,0.034912718
arjae,levenshtein,FALSE,64718,106220,101,85,85,3,2,167,0.416458853,25,0.06234414
arjae,levenshtein,FALSE,737828,131429,0,0,0,999999,999999,194,0.483790524,20,0.049875312
arjae,levenshtein,FALSE,797293,379773,156,134,134,4,1,214,0.533665835,15,0.037406484
arjae,levenshtein,FALSE,81853,480185,0,0,0,999999,999999,227,0.566084788,45,0.112219451
arjae,levenshtein,FALSE,849718,33335,0,0,0,999999,999999,150,0.374064838,27,0.067331671
arjae,levenshtein,FALSE,942773,537503,0,0,0,999999,999999,179,0.44638404,32,0.079800499
arjae,levenshtein,FALSE,973050,207420,0,0,0,999999,999999,187,0.466334165,31,0.077306733
arjae,levenshtein,FALSE,97319,786822,0,0,0,999999,999999,194,0.483790524,23,0.057356608
arjae,lis,FALSE,121355,237807,1,1,1,374,1,5,0.012468828,45,0.112219451
arjae,lis,FALSE,236040,829508,0,0,0,999999,999999,29,0.072319202,22,0.054862843
arjae,lis,FALSE,284940,800993,0,0,0,999999,999999,9,0.02244389,34,0.08478803
arjae,lis,FALSE,37309,359248,0,0,0,999999,999999,44,0.109725686,22,0.054862843
arjae,lis,FALSE,39378,180579,0,0,0,999999,999999,18,0.044887781,30,0.074812968
arjae,lis,FALSE,401355,51568,0,0,0,999999,999999,29,0.072319202,17,0.042394015
arjae,lis,FALSE,405521,62957,0,0,0,999999,999999,81,0.201995012,21,0.052369077
arjae,lis,FALSE,408464,586661,0,0,0,999999,999999,9,0.02244389,40,0.099750623
arjae,lis,FALSE,520474,318365,28,28,28,138,1,32,0.079800499,27,0.067331671
arjae,lis,FALSE,546694,397651,0,0,0,999999,999999,34,0.08478803,23,0.057356608
arjae,lis,FALSE,557104,536283,0,0,0,999999,999999,42,0.104738155,31,0.077306733
arjae,lis,FALSE,581449,221675,0,0,0,999999,999999,46,0.114713217,17,0.042394015
arjae,lis,FALSE,607786,954986,34,33,33,121,1,44,0.109725686,28,0.069825436
arjae,lis,FALSE,706997,417403,0,0,0,999999,999999,22,0.054862843,30,0.074812968
arjae,lis,FALSE,759554,66333,0,0,0,999999,999999,107,0.266832918,18,0.044887781
arjae,lis,FALSE,811928,572135,0,0,0,999999,999999,3,0.007481297,44,0.109725686
arjae,lis,FALSE,895685,708797,0,0,0,999999,999999,49,0.122194514,22,0.054862843
arjae,lis,FALSE,914272,831377,0,0,0,999999,999999,50,0.124688279,25,0.06234414
arjae,lis,FALSE,967341,884423,0,0,0,999999,999999,18,0.044887781,20,0.049875312
arjae,lis,FALSE,985229,711303,0,0,0,999999,999999,24,0.059850374,26,0.064837905
arjae,mergesort,FALSE,117193,636014,0,0,0,999999,999999,0,0,408,0.50872818
arjae,mergesort,FALSE,167190,798066,0,0,0,999999,999999,0,0,379,0.472568579
arjae,mergesort,FALSE,169213,806630,0,0,0,999999,999999,0,0,375,0.467581047
arjae,mergesort,FALSE,184452,103308,0,0,0,999999,999999,0,0,377,0.470074813
arjae,mergesort,FALSE,228025,202154,0,0,0,999999,999999,0,0,413,0.514962594
arjae,mergesort,FALSE,276874,533849,0,0,0,999999,999999,0,0,371,0.462593516
arjae,mergesort,FALSE,284468,402999,0,0,0,999999,999999,0,0,373,0.465087282
arjae,mergesort,FALSE,452830,209616,0,0,0,999999,999999,0,0,393,0.490024938
arjae,mergesort,FALSE,506564,417002,0,0,0,999999,999999,0,0,370,0.461346633
arjae,mergesort,FALSE,554468,756998,0,0,0,999999,999999,0,0,406,0.506234414
arjae,mergesort,FALSE,560446,96617,0,0,0,999999,999999,0,0,369,0.460099751
arjae,mergesort,FALSE,609431,363926,0,0,0,999999,999999,0,0,387,0.482543641
arjae,mergesort,FALSE,613192,543908,0,0,0,999999,999999,0,0,365,0.455112219
arjae,mergesort,FALSE,674188,428381,0,0,0,999999,999999,0,0,388,0.483790524
arjae,mergesort,FALSE,702037,346630,0,0,0,999999,999999,0,0,400,0.498753117
arjae,mergesort,FALSE,736228,381239,0,0,0,999999,999999,0,0,392,0.488778055
arjae,mergesort,FALSE,823002,792326,0,0,0,999999,999999,0,0,369,0.460099751
arjae,mergesort,FALSE,851377,237435,0,0,0,999999,999999,0,0,375,0.467581047
arjae,mergesort,FALSE,87088,933392,0,0,0,999999,999999,0,0,382,0.476309227
arjae,mergesort,FALSE,955117,692009,0,0,0,999999,999999,0,0,388,0.483790524
arjae,next_permutation,FALSE,123793,636370,1,1,1,119,3,69,0.172069825,80,0.199501247
arjae,next_permutation,FALSE,162372,271844,1,1,1,68,1,131,0.326683292,82,0.204488778
arjae,next_permutation,FALSE,183896,764868,30,30,30,157,1,51,0.127182045,102,0.25436409
arjae,next_permutation,FALSE,277988,53213,32,31,27,7,1,131,0.326683292,69,0.172069825
arjae,next_permutation,FALSE,308641,465647,0,0,0,999999,999999,89,0.221945137,56,0.139650873
arjae,next_permutation,FALSE,420718,984062,168,168,168,33,2,186,0.463840399,76,0.189526185
arjae,next_permutation,FALSE,556637,833673,38,38,38,183,1,59,0.14713217,115,0.286783042
arjae,next_permutation,FALSE,56726,302490,16,16,16,28,1,110,0.274314214,79,0.197007481
arjae,next_permutation,FALSE,584121,714493,6,6,6,128,1,54,0.134663342,118,0.294264339
arjae,next_permutation,FALSE,628591,500923,18,18,18,192,4,62,0.154613466,99,0.246882793
arjae,next_permutation,FALSE,635259,568514,0,0,0,999999,999999,57,0.142144638,91,0.226932668
arjae,next_permutation,FALSE,648582,393665,4,4,4,121,1,7,0.017456359,145,0.36159601
arjae,next_permutation,FALSE,654834,120677,3,3,3,2,1,110,0.274314214,66,0.164588529
arjae,next_permutation,FALSE,657420,719990,14,14,14,288,11,100,0.249376559,82,0.204488778
arjae,next_permutation,FALSE,732321,209990,0,0,0,999999,999999,1,0.002493766,158,0.394014963
arjae,next_permutation,FALSE,761137,116935,27,24,24,71,1,105,0.261845387,82,0.204488778
arjae,next_permutation,FALSE,782233,427186,0,0,0,999999,999999,139,0.346633416,86,0.21446384
arjae,next_permutation,FALSE,847515,832082,2,2,2,294,1,6,0.014962594,228,0.568578554
arjae,next_permutation,FALSE,880469,616689,6,6,6,315,1,9,0.02244389,160,0.399002494
arjae,next_permutation,FALSE,883406,749542,0,0,0,999999,999999,222,0.55361596,50,0.124688279
arjae,powerset,FALSE,119452,411325,0,0,0,999999,999999,0,0,123,0.306733167
arjae,powerset,FALSE,178829,580706,0,0,0,999999,999999,121,0.301745636,62,0.154613466
arjae,powerset,FALSE,217594,818508,0,0,0,999999,999999,0,0,104,0.259351621
arjae,powerset,FALSE,228634,872170,0,0,0,999999,999999,0,0,117,0.291770574
arjae,powerset,FALSE,321257,430697,0,0,0,999999,999999,0,0,109,0.271820449
arjae,powerset,FALSE,345845,98207,0,0,0,999999,999999,0,0,96,0.239401496
arjae,powerset,FALSE,37778,330494,0,0,0,999999,999999,0,0,104,0.259351621
arjae,powerset,FALSE,38531,323654,0,0,0,999999,999999,0,0,119,0.296758105
arjae,powerset,FALSE,388579,229303,0,0,0,999999,999999,0,0,111,0.27680798
arjae,powerset,FALSE,402664,709529,0,0,0,999999,999999,35,0.087281796,81,0.201995012
arjae,powerset,FALSE,41940,179349,0,0,0,999999,999999,0,0,118,0.294264339
arjae,powerset,FALSE,437783,101683,0,0,0,999999,999999,37,0.092269327,57,0.142144638
arjae,powerset,FALSE,490373,828798,0,0,0,999999,999999,59,0.14713217,49,0.122194514
arjae,powerset,FALSE,56771,551615,0,0,0,999999,999999,0,0,105,0.261845387
arjae,powerset,FALSE,574354,192872,0,0,0,999999,999999,0,0,122,0.304239401
arjae,powerset,FALSE,600731,966002,0,0,0,999999,999999,0,0,114,0.284289277
arjae,powerset,FALSE,742360,294275,0,0,0,999999,999999,0,0,112,0.279301746
arjae,powerset,FALSE,848276,219314,0,0,0,999999,999999,0,0,95,0.236907731
arjae,powerset,FALSE,886364,214086,0,0,0,999999,999999,0,0,100,0.249376559
arjae,powerset,FALSE,992198,349449,0,0,0,999999,999999,1,0.002493766,105,0.261845387
